name,cd_nom,lb_nom_key,label,regne
768297,768297,Abuta tomentosa,Abuta tomentosa{768297},Plantae
768298,768298,Abuta umbellata,Abuta umbellata{768298},Plantae
768299,768299,Abuta verruculosa,Abuta verruculosa{768299},Plantae
768300,768300,Abuta wilson-brownei,Abuta wilson-brownei{768300},Plantae
79679,79679,Abutilodes carolinianum,Abutilodes carolinianum{79679},Plantae
453087,453087,Abutilon albescens,Abutilon albescens{453087},Plantae
637554,637554,Abutilon americanum,Abutilon americanum{637554},Plantae
631198,631198,Abutilon amplissimum,Abutilon amplissimum{631198},Plantae
455830,455830,Abutilon asiaticum,Abutilon asiaticum{455830},Plantae
455734,455734,Abutilon asiaticum var. albescens,Abutilon asiaticum var. albescens{455734},Plantae
674645,674645,Abutilon asiaticum var. australiense (#ref),Abutilon asiaticum var. australiense (#ref){674645},Plantae
445746,445746,Abutilon auritum (#ref),Abutilon auritum (#ref){445746},Plantae
79680,79680,Abutilon avicennae,Abutilon avicennae{79680},Plantae
79681,79681,Abutilon behrianum,Abutilon behrianum{79681},Plantae
637555,637555,Abutilon commutatum,Abutilon commutatum{637555},Plantae
631199,631199,Abutilon crispum,Abutilon crispum{631199},Plantae
631200,631200,Abutilon cubanum,Abutilon cubanum{631200},Plantae
631201,631201,Abutilon deflexum,Abutilon deflexum{631201},Plantae
705746,705746,Abutilon exstipulare (#ref),Abutilon exstipulare (#ref){705746},Plantae
445747,445747,Abutilon grandifolium (#ref),Abutilon grandifolium (#ref){445747},Plantae
637440,637440,Abutilon graveolens,Abutilon graveolens{637440},Plantae
631202,631202,Abutilon graveolens var. hirtum,Abutilon graveolens var. hirtum{631202},Plantae
705747,705747,Abutilon guineense (#ref),Abutilon guineense (#ref){705747},Plantae
631203,631203,Abutilon hernandioides,Abutilon hernandioides{631203},Plantae
446648,446648,Abutilon hirtum (#ref),Abutilon hirtum (#ref){446648},Plantae
628989,628989,Abutilon hulseanum (#ref),Abutilon hulseanum (#ref){628989},Plantae
637556,637556,Abutilon indicum,Abutilon indicum{637556},Plantae
445748,445748,Abutilon indicum (#ref),Abutilon indicum (#ref){445748},Plantae
447301,447301,Abutilon indicum subsp. albescens (#ref),Abutilon indicum subsp. albescens (#ref){447301},Plantae
448516,448516,Abutilon indicum subsp. indicum (#ref),Abutilon indicum subsp. indicum (#ref){448516},Plantae
699972,699972,Abutilon indicum var. australiense,Abutilon indicum var. australiense{699972},Plantae
631204,631204,Abutilon indicum var. hirtum,Abutilon indicum var. hirtum{631204},Plantae
631205,631205,Abutilon leiospermum,Abutilon leiospermum{631205},Plantae
637557,637557,Abutilon leiospermum,Abutilon leiospermum{637557},Plantae
631206,631206,Abutilon leucophaeum,Abutilon leucophaeum{631206},Plantae
445749,445749,Abutilon mangarevicum (#ref),Abutilon mangarevicum (#ref){445749},Plantae
79682,79682,Abutilon megapotamicum (#ref),Abutilon megapotamicum (#ref){79682},Plantae
637558,637558,Abutilon mollissimum,Abutilon mollissimum{637558},Plantae
671169,671169,Abutilon mollissimum (#ref),Abutilon mollissimum (#ref){671169},Plantae
707271,707271,Abutilon muticum,Abutilon muticum{707271},Plantae
671170,671170,Abutilon oxycarpum (#ref),Abutilon oxycarpum (#ref){671170},Plantae
637559,637559,Abutilon pauciflorum,Abutilon pauciflorum{637559},Plantae
453086,453086,Abutilon periplocifolium,Abutilon periplocifolium{453086},Plantae
628991,628991,Abutilon pictum (#ref),Abutilon pictum (#ref){628991},Plantae
631207,631207,Abutilon populifolium,Abutilon populifolium{631207},Plantae
705748,705748,Abutilon pseudocleistoganum (#ref),Abutilon pseudocleistoganum (#ref){705748},Plantae
79683,79683,Abutilon pubescens,Abutilon pubescens{79683},Plantae
188678,188678,Abutilon (#ref),Abutilon (#ref){188678},Plantae
445751,445751,Abutilon sachetianum (#ref),Abutilon sachetianum (#ref){445751},Plantae
767770,767770,Abutilon spicatum,Abutilon spicatum{767770},Plantae
446762,446762,Abutilon striatum,Abutilon striatum{446762},Plantae
705749,705749,Abutilon striatum (#ref),Abutilon striatum (#ref){705749},Plantae
631208,631208,Abutilon subpapyraceum,Abutilon subpapyraceum{631208},Plantae
79684,79684,Abutilon theophrasti (#ref),Abutilon theophrasti (#ref){79684},Plantae
631209,631209,Abutilon thompsoni,Abutilon thompsoni{631209},Plantae
631210,631210,Abutilon umbellatum,Abutilon umbellatum{631210},Plantae
631211,631211,Abutilon venosum,Abutilon venosum{631211},Plantae
631212,631212,Abutilon vexillarium,Abutilon vexillarium{631212},Plantae
79685,79685,Abutilon vitifolium (#ref),Abutilon vitifolium (#ref){79685},Plantae
188241,188241,Abylidae (#ref),Abylidae (#ref){188241},Animalia
355049,355049,Abylopsis (#ref),Abylopsis (#ref){355049},Animalia
371971,371971,Abylopsis tetragona (#ref),Abylopsis tetragona (#ref){371971},Animalia
240284,240284,Abyssidrilus cuspis (#ref),Abyssidrilus cuspis (#ref){240284},Animalia
200934,200934,Abyssidrilus (#ref),Abyssidrilus (#ref){200934},Animalia
359393,359393,Abyssinoe,Abyssinoe{359393},Animalia
383688,383688,Abyssinoe scopa,Abyssinoe scopa{383688},Animalia
670011,670011,Abyssochitonidae (#ref),Abyssochitonidae (#ref){670011},Animalia
371694,371694,Abyssocucumis abyssorum (#ref),Abyssocucumis abyssorum (#ref){371694},Animalia
354941,354941,Abyssocucumis (#ref),Abyssocucumis (#ref){354941},Animalia
713496,713496,Abyssoninoe hibernica (#ref),Abyssoninoe hibernica (#ref){713496},Animalia
359397,359397,Abyssoninoe (#ref),Abyssoninoe (#ref){359397},Animalia
383717,383717,Abyssoninoe scopa (#ref),Abyssoninoe scopa (#ref){383717},Animalia
